major_department,year,music_genre,living,humour,friend_qualities,personal_qualities,sports,friday_night,school_balance,entertainment_genre
Engineering (if you're computer science choose this),Sophomore,Rap,Off-Campus,Situational,"Trustworthy, Social Intelligence, Humour","Understanding, Supportive, Loyalty",Yes,Watching Netflix,5-8 hours of school and/or work a day,Comedy
Sciences,Sophomore,Pop,Off-Campus,Dad-Joke Humor,"Trustworthy, Kindness, Loyalty","Trustworthy, Kindness, Loyalty",No,At a party/With Friends,5-8 hours of school and/or work a day,Anime/Cartoon
Engineering (if you're computer science choose this),Sophomore,Pop,Off-Campus,Situational,"Ambition, Kindness, Understanding","Ambition, Kindness, Leadership",No,Studying,8+ hours of school and/or work a day,Rom-Com
Engineering (if you're computer science choose this),Sophomore,Indie/Alternative,Off-Campus,Dark-Humor,"Kindness, Understanding, Supportive","Kindness, Understanding, Social Intelligence",No,Watching Netflix,8+ hours of school and/or work a day,Emotional
Engineering (if you're computer science choose this),Sophomore,EDM,Off-Campus,Dark-Humor,"Trustworthy, Understanding, Humour","Ambition, Supportive, Loyalty",Yes,Working,8+ hours of school and/or work a day,Anime/Cartoon
Engineering (if you're computer science choose this),Senior,EDM,Off-Campus,Dark-Humor,"Ambition, Trustworthy, Humour","Ambition, Humour, Loyalty",No,Watching Netflix,8+ hours of school and/or work a day,Documentary
Sciences,Sophomore,EDM,Off-Campus,Self Deprecating,"Ambition, Trustworthy, Supportive","Ambition, Fairness, Supportive",Yes,Watching Netflix,5-8 hours of school and/or work a day,Emotional
Engineering (if you're computer science choose this),Senior,Pop,Off-Campus,Situational,"Kindness, Supportive, Humour","Ambition, Leadership, Social Intelligence",Yes,At a party/With Friends,8+ hours of school and/or work a day,Sci-Fi
Sciences,Sophomore,"International Music(KPOP, Bollywood, etc.)",Off-Campus,Situational,"Kindness, Supportive, Humour","Kindness, Understanding, Supportive",No,Watching Netflix,5-8 hours of school and/or work a day,Anime/Cartoon
Business,Sophomore,"International Music(KPOP, Bollywood, etc.)",Off-Campus,Dark-Humor,"Trustworthy, Humour, Loyalty","Ambition, Fairness, Humour",Yes,At a party/With Friends,5-8 hours of school and/or work a day,Comedy
Engineering (if you're computer science choose this),Junior,EDM,Off-Campus,Situational,"Ambition, Understanding, Humour","Trustworthy, Understanding, Humour",No,Studying,5-8 hours of school and/or work a day,Comedy
Business,Freshman,Rap,Off-Campus,Dark-Humor,"Trustworthy, Kindness, Supportive","Kindness, Supportive, Loyalty",Yes,Studying,5-8 hours of school and/or work a day,Horror
Engineering (if you're computer science choose this),Alumni,Rock,Off-Campus,Situational,"Kindness, Social Intelligence, Humour","Social Intelligence, Humour, Loyalty",No,Watching Netflix,5-8 hours of school and/or work a day,Sci-Fi
Engineering (if you're computer science choose this),Junior,RN&B,Off-Campus,Dad-Joke Humor,"Kindness, Supportive, Social Intelligence","Ambition, Kindness, Supportive",No,Studying,8+ hours of school and/or work a day,Action
Sciences,Senior,EDM,Off-Campus,Situational,"Trustworthy, Humour, Loyalty","Kindness, Humour, Loyalty",Yes,At a party/With Friends,5-8 hours of school and/or work a day,Anime/Cartoon
Engineering (if you're computer science choose this),Sophomore,Pop,Off-Campus,Situational,"Fairness, Trustworthy, Loyalty","Ambition, Fairness, Understanding",Yes,Watching Netflix,5-8 hours of school and/or work a day,Action
Engineering (if you're computer science choose this),Sophomore,indie,Off-Campus,Self Deprecating,"Kindness, Understanding, Supportive","Ambition, Understanding, Loyalty",Yes,Watching Netflix,<5 hours of school and/or work a day,Horror
Sciences,Senior,Progressive instrumentals,Off-Campus,Situational,"Trustworthy, Kindness, Supportive","Fairness, Kindness, Understanding",No,Studying,8+ hours of school and/or work a day,Comedy
Engineering (if you're computer science choose this),Sophomore,Pop,Off-Campus,Situational,"Trustworthy, Understanding, Loyalty","Trustworthy, Understanding, Loyalty",No,Studying,5-8 hours of school and/or work a day,Comedy
Sciences,Sophomore,Jazz,Off-Campus,Situational,"Trustworthy, Understanding, Social Intelligence","Ambition, Fairness, Kindness",No,Watching Netflix,5-8 hours of school and/or work a day,Sci-Fi
Engineering (if you're computer science choose this),Freshman,Pop,Off-Campus,Situational,"Trustworthy, Humour","Kindness, Supportive, Loyalty",Yes,At a party/With Friends,5-8 hours of school and/or work a day,Drama/K-Drama
Engineering (if you're computer science choose this),Junior,EDM,Off-Campus,Self Deprecating,"Fairness, Understanding, Supportive","Understanding, Supportive, Humour",No,Watching Netflix,<5 hours of school and/or work a day,Anime/Cartoon
Engineering (if you're computer science choose this),Sophomore,Pop,Off-Campus,Dad-Joke Humor,"Leadership, Social Intelligence, Humour","Leadership, Social Intelligence, Humour",No,At a party/With Friends,5-8 hours of school and/or work a day,Comedy
Engineering (if you're computer science choose this),Sophomore,Rap,Off-Campus,Dark-Humor,"Trustworthy, Supportive, Humour","Fairness, Understanding, Humour",Yes,Watching Netflix,5-8 hours of school and/or work a day,Comedy
Engineering (if you're computer science choose this),Sophomore,Blues,Off-Campus,Dark-Humor,"Ambition, Kindness, Supportive","Ambition, Understanding, Social Intelligence",Yes,Watching Netflix,5-8 hours of school and/or work a day,Anime/Cartoon
Engineering (if you're computer science choose this),Sophomore,Jazz,Off-Campus,Dark-Humor,"Understanding, Humour, Loyalty","Understanding, Humour, Loyalty",No,Studying,8+ hours of school and/or work a day,Anime/Cartoon
Engineering (if you're computer science choose this),Sophomore,Pop,Off-Campus,Situational,"Trustworthy, Supportive, Humour","Ambition, Kindness, Humour",No,Studying,5-8 hours of school and/or work a day,Sci-Fi
Engineering (if you're computer science choose this),Sophomore,Pop,Off-Campus,Situational,"Trustworthy, Supportive, Humour","Ambition, Kindness, Humour",No,Studying,5-8 hours of school and/or work a day,Sci-Fi
Engineering (if you're computer science choose this),Sophomore,Pop,Off-Campus,Situational,"Trustworthy, Supportive, Humour","Ambition, Kindness, Humour",No,Studying,5-8 hours of school and/or work a day,Sci-Fi
Sciences,Sophomore,Rock,Off-Campus,Situational,"Trustworthy, Supportive, Loyalty","Fairness, Kindness, Loyalty",Yes,Studying,5-8 hours of school and/or work a day,Anime/Cartoon
Sciences,Junior,"International Music(KPOP, Bollywood, etc.)",Off-Campus,Dad-Joke Humor,"Trustworthy, Humour, Loyalty","Trustworthy, Humour, Loyalty",No,Watching Netflix,5-8 hours of school and/or work a day,Anime/Cartoon
Engineering (if you're computer science choose this),Junior,Pop,Off-Campus,Situational,"Trustworthy, Kindness, Humour","Trustworthy, Humour, Loyalty",No,At a party/With Friends,<5 hours of school and/or work a day,Comedy
Engineering (if you're computer science choose this),Senior,EDM,Off-Campus,Dark-Humor,"Kindness, Understanding, Loyalty","Kindness, Understanding, Supportive",Yes,At a party/With Friends,5-8 hours of school and/or work a day,Anime/Cartoon
Sciences,Sophomore,Pop,Off-Campus,Situational,"Understanding, Social Intelligence, Humour","Ambition, Fairness, Humour",No,At a party/With Friends,5-8 hours of school and/or work a day,Drama/K-Drama
Engineering (if you're computer science choose this),Freshman,I donâ€™t listen to music,Off-Campus,Situational,"Fairness, Trustworthy, Kindness, Social Intelligence, Loyalty","Ambition, Fairness, Trustworthy, Kindness, Understanding, Supportive, Leadership, Social Intelligence, Humour, Loyalty",Yes,Working,8+ hours of school and/or work a day,Documentary
Engineering (if you're computer science choose this),Junior,Pop,On-Campus,Dad-Joke Humor,"Trustworthy, Understanding, Social Intelligence","Ambition, Supportive, Social Intelligence",No,At a party/With Friends,5-8 hours of school and/or work a day,Anime/Cartoon
Engineering (if you're computer science choose this),Sophomore,Pop,Off-Campus,Stand-Up,"Trustworthy, Supportive, Humour","Fairness, Understanding, Humour",No,Watching Netflix,5-8 hours of school and/or work a day,Drama/K-Drama
Engineering (if you're computer science choose this),Freshman,"International Music(KPOP, Bollywood, etc.)",Off-Campus,Situational,"Trustworthy, Kindness, Humour","Kindness, Supportive, Humour",Yes,Watching Netflix,8+ hours of school and/or work a day,Action
Engineering (if you're computer science choose this),Sophomore,Musical/Theatre,Off-Campus,Dad-Joke Humor,"Trustworthy, Social Intelligence, Humour","Kindness, Supportive, Loyalty",Yes,Watching Netflix,5-8 hours of school and/or work a day,Action
Engineering (if you're computer science choose this),Sophomore,Pop,Off-Campus,Situational,"Kindness, Social Intelligence, Humour","Kindness, Supportive, Humour",Yes,Watching Netflix,8+ hours of school and/or work a day,Emotional
Engineering (if you're computer science choose this),Sophomore,indie/alternative,Off-Campus,Dark-Humor,"Trustworthy, Kindness, Understanding","Kindness, Understanding, Social Intelligence",No,Watching Netflix,5-8 hours of school and/or work a day,Anime/Cartoon